[TAILING] Tailing last 1000 lines for [all] processes (change the value with --lines option)
/root/.pm2/pm2.log last 1000 lines:
PM2        | 2017-05-16 19:02:33: App name:weapp id:0 online
PM2        | 2017-05-16 19:02:34: App [weapp] with id [0] and pid [29407], exited with code [1] via signal [SIGINT]
PM2        | 2017-05-16 19:02:34: Starting execution sequence in -fork mode- for app name:weapp id:0
PM2        | 2017-05-16 19:02:34: App name:weapp id:0 online
PM2        | 2017-05-16 19:02:34: App [weapp] with id [0] and pid [29427], exited with code [1] via signal [SIGINT]
PM2        | 2017-05-16 19:02:35: Starting execution sequence in -fork mode- for app name:weapp id:0
PM2        | 2017-05-16 19:02:35: App name:weapp id:0 online
PM2        | 2017-05-16 19:02:35: App [weapp] with id [0] and pid [29447], exited with code [1] via signal [SIGINT]
PM2        | 2017-05-16 19:02:35: Starting execution sequence in -fork mode- for app name:weapp id:0
PM2        | 2017-05-16 19:02:35: App name:weapp id:0 online
PM2        | 2017-05-16 19:02:36: App [weapp] with id [0] and pid [29467], exited with code [1] via signal [SIGINT]
PM2        | 2017-05-16 19:02:36: Starting execution sequence in -fork mode- for app name:weapp id:0
PM2        | 2017-05-16 19:02:36: App name:weapp id:0 online
PM2        | 2017-05-16 19:02:36: App [weapp] with id [0] and pid [29487], exited with code [1] via signal [SIGINT]
PM2        | 2017-05-16 19:02:36: Starting execution sequence in -fork mode- for app name:weapp id:0
PM2        | 2017-05-16 19:02:36: App name:weapp id:0 online
PM2        | 2017-05-16 19:02:37: App [weapp] with id [0] and pid [29507], exited with code [1] via signal [SIGINT]
PM2        | 2017-05-16 19:02:37: Starting execution sequence in -fork mode- for app name:weapp id:0
PM2        | 2017-05-16 19:02:37: App name:weapp id:0 online
PM2        | 2017-05-16 19:02:37: App [weapp] with id [0] and pid [29527], exited with code [1] via signal [SIGINT]
PM2        | 2017-05-16 19:02:37: Starting execution sequence in -fork mode- for app name:weapp id:0
PM2        | 2017-05-16 19:02:37: App name:weapp id:0 online
PM2        | 2017-05-16 19:02:38: App [weapp] with id [0] and pid [29547], exited with code [1] via signal [SIGINT]
PM2        | 2017-05-16 19:02:38: Starting execution sequence in -fork mode- for app name:weapp id:0
PM2        | 2017-05-16 19:02:38: App name:weapp id:0 online
PM2        | 2017-05-16 19:02:39: App [weapp] with id [0] and pid [29567], exited with code [1] via signal [SIGINT]
PM2        | 2017-05-16 19:02:39: Starting execution sequence in -fork mode- for app name:weapp id:0
PM2        | 2017-05-16 19:02:39: App name:weapp id:0 online
PM2        | 2017-05-16 19:02:39: App [weapp] with id [0] and pid [29587], exited with code [1] via signal [SIGINT]
PM2        | 2017-05-16 19:02:39: Script /data/release/node-weapp-demo/app.js had too many unstable restarts (16). Stopped. "errored"
PM2        | 2017-05-16 19:03:08: Change detected on path business/wxPay2.js for app weapp - restarting
